name,track_number,album.release_date,id,album.name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,explicit,key_name,mode_name,key_mode
Shoot Me Again,7,2003-01-01,6ATqmUzk4xbq3XpVsZMPW5,St. Anger,38,0.551,0.926,8,-4.301,1,0.0813,7.14e-4,0.0139,0.0441,0.337,111.367,430,TRUE,G#,major,G# major
Prince Charming,10,1997-01-01,6ax1qtm74zcC2eS8l0SLGX,Reload,39,0.54,0.978,3,-3.687,0,0.0488,1.89e-5,6.61e-4,0.0352,0.453,99.827,365,FALSE,D#,minor,D# minor
Fight Fire With Fire - Remastered,1,1984-07-26,6ckozbGmOusAnLT2LEbERy,Ride The Lightning ,55,0.283,0.988,0,-7.017,1,0.111,3.75e-5,0.728,0.0712,0.133,90.791,285,FALSE,C,major,C major
Better Than You,5,1997-01-01,6FAHGDSq8RDfHXIk3DSZdb,Reload,40,0.43,0.964,1,-5.465,1,0.0566,3.87e-5,0.476,0.896,0.443,156.59,322,FALSE,C#,major,C# major
"Atlas, Rise!",2,2016-11-18,6fjer7Ed6ZUna1EMbwbDrN,Hardwired…To Self-Destruct,51,0.416,0.994,4,-3.354,0,0.0609,2.93e-5,0.0299,0.0704,0.434,95.205,389,FALSE,E,minor,E minor
Fuel,1,1997-01-01,6FUwPb4mGlUDbx42uspXaZ,Reload,64,0.49,0.951,1,-3.777,1,0.0477,2.02e-5,0.0027,0.0314,0.589,106.946,270,TRUE,C#,major,C# major
Escape - Remastered,6,1984-07-26,6Kjwg4dmlA5UUqOvWXbiar,Ride The Lightning ,44,0.257,0.941,4,-5.864,1,0.0952,0.00144,0.498,0.176,0.541,144.142,264,FALSE,E,major,E major
The Unforgiven II,4,1997-01-01,6nswV1Lz3OZkaiCJfmVUOa,Reload,62,0.497,0.89,8,-4.559,0,0.0445,5.5e-4,0.00129,0.255,0.249,133.047,396,FALSE,G#,minor,G# minor
Harvester of Sorrow,6,1988-08-25,6qgYe6noMKsElSoPg9yS91,…And Justice for All ,42,0.656,0.864,4,-7.895,0,0.0408,2e-4,0.0966,0.248,0.627,93.202,345,FALSE,E,minor,E minor
The Memory Remains,2,1997-01-01,6RbC38oDCIXD8V2AOU1Tjr,Reload,56,0.435,0.901,10,-3.694,0,0.0429,3.03e-4,0.0072,0.185,0.547,143.646,279,FALSE,A#,minor,A# minor
Motorbreath - Remastered,3,1983-07-24,6RqEJvpEzzlwj8g0wKG1ln,Kill 'Em All ,51,0.289,0.934,1,-6.085,1,0.157,1.21e-4,0.0515,0.086,0.347,173.872,188,FALSE,C#,major,C# major
Battery,1,1986-03-03,6UB9mShVLbMm0W4e6vud4C,Master Of Puppets ,60,0.481,0.928,11,-8.799,0,0.0672,2.2e-4,0.558,0.106,0.427,96.699,312,FALSE,B,minor,B minor
Dirty Window,4,2003-01-01,6xFoN6e5B9DTw6aV6yT3KF,St. Anger,39,0.369,0.978,1,-4.246,1,0.0827,0.0103,9.02e-5,0.159,0.445,127.607,325,FALSE,C#,major,C# major
Leper Messiah,6,1986-03-03,6XN00D9ejjEt1cW1sY44Gu,Master Of Puppets ,46,0.379,0.808,4,-8.605,1,0.0684,5.23e-5,0.794,0.322,0.557,138.694,340,FALSE,E,major,E major
Fade To Black - Remastered,4,1984-07-26,7866E49sLyI938dEqxi8a4,Ride The Lightning ,51,0.256,0.924,7,-6.685,1,0.113,0.00369,0.234,0.114,0.28,113.574,417,FALSE,G,major,G major
It's Electric,2,1998-01-01,7csz4sW8pAL4M378czLtlD,Garage Inc.,41,0.485,0.967,10,-3.151,0,0.0909,2.33e-4,0,0.173,0.63,90.905,214,FALSE,A#,minor,A# minor
Bleeding Me,7,1996-01-01,7FLm43IriB4jxAposCv9Ji,Load,52,0.393,0.762,1,-6.072,1,0.0324,9.94e-4,0.0305,0.123,0.225,117.115,498,FALSE,C#,major,C# major
Crash Course In Brain Surgery,4,1998-01-01,7IDSHt1TFIKVcNwvbJASBZ,Garage Inc.,36,0.561,0.983,2,-4.249,1,0.125,5.01e-5,0.254,0.0338,0.459,87.675,189,FALSE,D,major,D major
My Apocalypse,10,2008-01-01,7MtBapy0MnmBVsU3o0yrFz,Death Magnetic,48,0.265,0.988,0,-2.934,1,0.184,1.39e-4,0.00452,0.13,0.266,200.091,301,FALSE,C,major,C major
The God That Failed,10,1991-08-12,7tyc1pcOE4FOVIQTBzvxeF,Metallica,52,0.536,0.798,8,-6.531,1,0.0402,3.27e-4,2.76e-4,0.122,0.44,82.99,309,FALSE,G#,major,G# major
Low Man's Lyric,11,1997-01-01,7tZckbBO3wtatBWne8YbcM,Reload,44,0.463,0.685,1,-6.126,1,0.0271,0.00273,2.9e-4,0.364,0.151,130.898,456,FALSE,C#,major,C# major
Purify,10,2003-01-01,7ucFoRbiHn7SOVfHFHRjbE,St. Anger,36,0.497,0.987,0,-3.104,1,0.0668,0.00221,0.00664,0.36,0.254,105.526,314,FALSE,C,major,C major
The Thing That Should Not Be,3,1986-03-03,7vFC68CBMKu99p4tIz6yzx,Master Of Puppets ,48,0.679,0.719,9,-10.134,1,0.032,1.16e-4,0.354,0.128,0.445,111.792,396,FALSE,A,major,A major
